,inicio,varinicio,varfim,inteiro,real,literal,leia,escreva,se,entao,fimse,repita,fimrepita,fim,id,vir,pt_v,lit,num,rcb,opm,ab_p,fc_p,opr,eof
0,S2,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E9
1,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,ACC
2,E6,S4,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E9
3,E10,E10,E10,E10,E10,E10,S11,S12,S16,E10,E10,S17,E10,S10,S13,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
4,E8,E8,S20,S22,S23,S24,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E9
5,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,R2
6,E10,E10,E10,E10,E10,E10,S11,S12,S16,E10,E10,S17,E10,S10,S13,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
7,E10,E10,E10,E10,E10,E10,S11,S12,S16,E10,E10,S17,E10,S10,S13,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
8,E10,E10,E10,E10,E10,E10,S11,S12,S16,E10,E10,S17,E10,S10,S13,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
9,E10,E10,E10,E10,E10,E10,S11,S12,S16,E10,E10,S17,E10,S10,S13,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
10,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,R39
11,E22,E22,E22,E22,E22,E22,E22,E22,E22,E22,E22,E22,E22,E22,S29,E22,E2,E19,E19,E22,E22,E22,E22,E22,E9
12,E21,E21,E21,E21,E21,E21,E21,E21,E21,E21,E21,E21,E21,E21,S33,E21,E3,S31,S32,E21,E21,E21,E21,E21,E9
13,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E15,E10,E23,E10,E10,S34,E10,E10,E10,E16,E9
14,E10,E10,E10,E10,E10,E10,S11,S12,S16,E10,S39,E10,E10,E10,S13,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
15,E10,E10,E10,E10,E10,E10,S11,S12,S16,E10,E10,E10,S44,E10,S13,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
16,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,S45,E10,E10,E9
17,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E20,E10,E10,E10,E10,E10,E10,S46,E10,E10,E9
18,E10,E10,E10,E10,E10,E10,R3,R3,R3,E10,E10,R3,E10,R3,R3,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
19,E10,E10,S20,S22,S23,S24,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
20,E10,E10,E10,E10,E10,E10,E0,E0,E0,E10,E10,E0,E10,E0,E0,E10,S48,E10,E10,E10,E10,E10,E10,E10,E9
21,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,S50,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
22,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,R9,E4,E2,E10,E10,E10,E10,E10,E10,E10,E9
23,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,R10,E4,E2,E10,E10,E10,E10,E10,E10,E10,E9
24,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,R11,E4,E2,E10,E10,E10,E10,E10,E10,E10,E9
25,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,R12
26,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,R18
27,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,R24
28,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,R32
29,E10,E10,E10,E10,E10,E10,E0,E0,E0,E10,E0,E0,E10,E0,E0,E10,S51,E10,E10,E10,E10,E10,E10,E10,E9
30,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,S52,E10,E10,E10,E10,E10,E10,E10,E9
31,E10,E10,E10,E10,E10,E10,E0,E0,E0,E10,E0,E0,E10,E0,E0,E10,R15,E10,E10,E10,E10,E10,E10,E10,E9
32,E10,E10,E10,E10,E10,E10,E0,E0,E0,E10,E0,E0,E10,E0,E0,E10,R16,E10,E10,E10,E10,E10,E10,E10,E9
33,E10,E10,E10,E10,E10,E10,E0,E0,E0,E10,E0,E0,E10,E0,E0,E10,R17,E10,E10,E10,E10,E10,E10,E10,E9
34,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,S55,E10,E10,E10,S56,E10,E10,E10,E10,E10,E9
35,E10,E10,E10,E10,E10,E10,R25,R25,R25,E10,R25,R25,R25,R25,R25,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
36,E10,E10,E10,E10,E10,E10,S11,S12,S16,E10,S39,E10,E10,E12,S13,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
37,E10,E10,E10,E10,E10,E10,S11,S12,S16,E10,S39,E12,E10,E12,S13,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
38,E10,E10,E10,E10,E10,E10,S11,S12,S16,E10,S39,E10,E10,E12,S13,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
39,E10,E10,E10,E10,E10,E10,R31,R31,R31,E10,R31,R31,R31,R31,R31,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
40,E10,E10,E10,E10,E10,E10,R33,R33,R33,E10,E10,R33,E10,R33,R33,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
41,E10,E10,E10,E10,E10,E10,S11,S12,S16,E10,E10,E10,R38,E11,S13,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
42,E10,E10,E10,E10,E10,E10,S11,S12,S16,E10,E10,E10,S44,E11,S13,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
43,E10,E10,E10,E10,E10,E10,S11,S12,S16,E10,E10,E10,S44,E11,S13,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
44,E10,E10,E10,E10,E10,E10,R38,R38,R38,E10,E10,R38,E10,R38,R38,E10,E10,E23,E10,E10,E10,E10,E10,E10,E9
45,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,S55,E10,E10,E10,S56,E10,E10,E10,E10,E10,E9
46,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,S55,E10,E10,E10,S56,E10,E10,E10,E10,E10,E9
47,E10,E10,E10,E10,E10,E10,R4,R4,R4,E10,E10,R4,E10,R4,R4,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
48,E10,E10,E10,E10,E10,E10,R5,R5,R5,E10,E10,R5,E10,R5,R5,E10,E10,E10,E10,E2,E10,E10,E10,E10,E9
49,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,S66,E10,E10,E10,E10,E10,E10,E10,E9
50,E10,E10,E0,E0,E0,E0,E10,E10,E10,E10,E10,E10,E10,E0,E17,S67,R8,E10,E10,E10,E10,E10,E10,E10,E9
51,E10,E10,E10,E10,E10,E10,R13,R13,R13,E10,R13,R13,R13,R13,R13,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
52,E10,E10,E10,E10,E10,E10,R14,R14,R14,E10,R14,R14,R14,R14,R14,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
53,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,S68,E10,E10,E10,E10,E10,E10,E10,E9
54,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,R21,E10,E10,E10,S69,E10,E10,E10,E9
55,E10,E10,E10,E10,E10,E10,E1,E1,E1,E10,E0,E1,E0,E0,E1,E10,R22,E10,E14,E10,R22,E10,R22,R22,E9
56,E10,E10,E10,E10,E10,E10,E1,E1,E1,E1,E10,E1,E10,E1,E1,E10,R23,E10,E10,E10,R23,E10,R23,R23,E9
57,E10,E10,E10,E10,E10,E10,R28,R28,R28,E10,R28,R28,R28,R28,R28,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
58,E10,E10,E10,E10,E10,E10,R29,R29,R29,E10,R29,R29,R29,R29,R29,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
59,E10,E10,E10,E10,E10,E10,R30,R30,R30,E10,R30,R30,R30,R30,R30,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
60,E10,E10,E10,E10,E10,E10,R35,R35,R35,E10,E10,R35,E10,R35,R35,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
61,E10,E10,E10,E10,E10,E10,R36,R36,R36,E10,E10,R36,E10,R36,R36,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
62,E10,E10,E10,E10,E10,E10,R37,R37,R37,E10,E10,R37,E10,R37,R37,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
63,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,S70,E10,E9
64,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,S71,E9
65,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,S72,E10,E9
66,E10,E10,R6,R6,R6,R6,E10,E10,E10,E10,E10,E10,E10,E10,E8,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
67,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,S50,E10,E2,E10,E10,E10,E10,E10,E10,E10,E9
68,E10,E10,E10,E10,E10,E10,R19,R19,R19,E10,R19,R19,R19,R19,R19,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
69,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,S55,E10,E10,E10,S56,E10,E10,E10,E10,E10,E9
70,E10,E10,E10,E10,E10,E10,E10,E10,E10,S75,E13,E10,E10,E10,E13,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
71,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,S55,E10,E10,E10,S56,E10,E10,E10,E4,E10,E9
72,E10,E10,E10,E10,E10,E10,R34,R34,R34,E10,E10,E10,R34,E11,R34,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
73,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,R7,E10,E10,E10,E10,E10,E10,E10,E9
74,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,R20,E10,E10,E10,E10,E10,E10,E10,E9
75,E10,E10,E10,E10,E10,E10,R26,R26,R26,E10,R26,E10,E10,E12,R26,E10,E10,E10,E10,E10,E10,E10,E10,E10,E9
76,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,R27,E10,E9
